Scenario,Endpoint,Run #,Execution Time (ms),Response Size (bytes),Success
"Default (30 days, limit 10)",/api/analytics/content-stats,1,129.54560000000004,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,1,9.339099999999974,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,2,17.509199999999964,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,2,21.697200000000066,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,3,12.432600000000093,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,3,17.02319999999986,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,4,8.562600000000202,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,4,8.431800000000294,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,5,14.521299999999883,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,5,9.573899999999867,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,6,7.161600000000362,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,6,6.667199999999866,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,7,6.603499999999713,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,7,5.159299999999803,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,8,16.164600000000064,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,8,6.154599999999846,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,9,7.5625,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,9,8.061799999999494,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats,10,7.16359999999986,0,false
"Default (30 days, limit 10)",/api/analytics/content-stats-optimized,10,7.242400000000089,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,1,6.014699999999721,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,1,4.232699999999568,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,2,5.61830000000009,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,2,5.714699999999539,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,3,7.265400000000227,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,3,4.136899999999514,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,4,6.339199999999437,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,4,5.225200000000768,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,5,9.500499999999192,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,5,7.826799999999821,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,6,7.141999999999825,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,6,5.045600000001286,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,7,9.911700000000565,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats-optimized,7,4.7775000000001455,0,false
"Large period (365 days, limit 10)",/api/analytics/content-stats,8,10.635200000000623,0,false
